File,uuid,serie,Geo Coordinate,Image Coordinate,width,height
11 Hattem 1842 1843,21c12088-ef89-4ed7-aeb6-ae5352fafde7,"('EERSTE DRUK', '3')","[[ 6.0592804 52.4194284]
 [ 6.1481946 52.4188904]
 [ 6.149284  52.4821614]
 [ 6.0602425 52.4827004]
 [ 6.0592804 52.4194284]]","[[[ 239. 6116.]]

 [[5189. 6151.]]

 [[5228.  506.]]

 [[ 278.  471.]]]",5520,6624
12 Zwolle 1844,a7cc497a-8299-4c22-901c-ea497486b8ac,"('EERSTE DRUK', '3')","[[ 6.0611742 52.482285 ]
 [ 6.163682  52.4816579]
 [ 6.1646287 52.535456 ]
 [ 6.0619959 52.536084 ]
 [ 6.0611742 52.482285 ]]","[[[ 635. 5076.]]

 [[6305. 5124.]]

 [[6347.  174.]]

 [[ 677.  126.]]]",6952,5196
13 Zalk 1843,6bf0a327-430c-4feb-9314-ea3f3658ff84,"('EERSTE DRUK', '3')","[[ 5.9734749 52.4739637]
 [ 6.0607788 52.4734998]
 [ 6.0617457 52.5368432]
 [ 5.9743166 52.5373081]
 [ 5.9734749 52.4739637]]","[[[ 280. 6094.]]

 [[5200. 6117.]]

 [[5226.  500.]]

 [[ 306.  477.]]]",5520,6616
14 Oosterwolde 1845 1846,ba2f65e5-756e-437d-9a8d-18fd8f829403,"('EERSTE DRUK', '3')","[[ 5.8842032 52.4811481]
 [ 5.9732797 52.4807411]
 [ 5.9741197 52.5439662]
 [ 5.8849155 52.5443739]
 [ 5.8842032 52.4811481]]","[[[ 252. 6129.]]

 [[5213. 6157.]]

 [[5244.  480.]]

 [[ 283.  452.]]]",5412,6632
15 Kampen 1845 1846,af2725c9-e47b-4c83-b398-b244977827ce,"('EERSTE DRUK', '3')","[[ 5.8559257 52.5440035]
 [ 5.974772  52.5434745]
 [ 5.9753787 52.5889614]
 [ 5.8564097 52.5894911]
 [ 5.8559257 52.5440035]]","[[[ 484. 4698.]]

 [[6945. 4737.]]

 [[6971.  557.]]

 [[ 509.  517.]]]",7400,5544
15a Supplementair Blad behorende tot het blad No 15 Kampen 1845 1846,ec77014c-98a2-4052-8139-b4c756c449ea,"('EERSTE DRUK', '3')","[[ 5.7862173 52.5686215]
 [ 5.8572328 52.5683615]
 [ 5.8576827 52.6104978]
 [ 5.7865993 52.6107581]
 [ 5.7862173 52.5686215]]","[[[1157. 4639.]]

 [[5278. 4652.]]

 [[5291.  791.]]

 [[1170.  777.]]]",6472,5220
16 Lutterzijl 1846,fed3a91b-209d-465f-884f-d83cd1356329,"('EERSTE DRUK', '3')","[[ 5.8574735 52.5890118]
 [ 5.9755484 52.5884854]
 [ 5.9761565 52.633954 ]
 [ 5.8579596 52.634481 ]
 [ 5.8574735 52.5890118]]","[[[ 475. 4666.]]

 [[6890. 4708.]]

 [[6918.  552.]]

 [[ 502.  510.]]]",7376,5244
17 Mastenbroek,e9e7cf9a-7c0d-4e3f-9617-a7ab5b9c5816,"('EERSTE DRUK', '3')","[[ 5.9741438 52.5367158]
 [ 6.0632091 52.5362417]
 [ 6.0641785 52.599405 ]
 [ 5.9749856 52.59988  ]
 [ 5.9741438 52.5367158]]","[[[ 288. 6082.]]

 [[5232. 6119.]]

 [[5274.  492.]]

 [[ 330.  454.]]]",5304,6592
18 Genemuiden 1844,f23ebcf5-97b2-4a17-8a11-703184c01473,"('EERSTE DRUK', '3')","[[ 5.9759515 52.5998968]
 [ 6.0503004 52.599505 ]
 [ 6.0512485 52.6623626]
 [ 5.9767934 52.6627552]
 [ 5.9759515 52.5998968]]","[[[ 439. 6084.]]

 [[4608. 6117.]]

 [[4653.  485.]]

 [[ 483.  452.]]]",5088,6584
19 Zwartsluis 1844,4e40ac66-91ee-4049-b900-5020ae3bd184,"('EERSTE DRUK', '3')","[[ 6.0500101 52.5994682]
 [ 6.1235729 52.5990348]
 [ 6.1246159 52.6613006]
 [ 6.0509489 52.6617347]
 [ 6.0500101 52.5994682]]","[[[ 449. 6107.]]

 [[4615. 6128.]]

 [[4642.  479.]]

 [[ 477.  459.]]]",5124,6592
